8. octubre 2018,CARPINTERIA MARCOS  SOC. MICROCOOPERATIVA, Plaza de los Castaños  4 bajo.,  BARAÑAIN,, carpinteriamarcos@yahoo.com, Taller y comercio de carpintería.,
8. octubre 2018,COVENT  SOC. MICROCOOPERATIVA, Avda. Pio XII  1  bajo (Edificio Singular).,  PAMPLONA,, P2@lamilladeoro.es, Comercio de compraventa de oro.,
8. octubre 2018,AIRAMA  SOC. MICROCOOPERATIVA, Monasterio de la Oliva   21 bajo.,  PAMPLONA,, mrgoldpluspamplona@gmail.com, Comercio de compraventa de oro.,logo-mrgold-002-300x84.png
8. octubre 2018,LOVIS  SOC. MICROCOOPERATIVA, Avda. Zaragoza  6 bajo.,  PAMPLONA,, leexiolon@gmail.com, Comercio de farmacia y cosmética.,
8. octubre 2018,, Señorío Amocain   4,  OBANOS,, consultoria@igualarnavarra.com, Servicios de consultoría en igualdad.,Igualar-300x181.jpg
3. octubre 2018,EROSKI  SOC. COOPERATIVA, Barrio San Agustín  s/n.,  ELORRIO, www.eroski.es,, Comercio minorista de alimentación,
3. octubre 2018,SINDIDI  SOC. MICROCOOPERATIVA, Plaza Mutilva  1-3º A.,  MUTILVA,, libertad90@outlook.com, Comercio de alimentación.,
3. octubre 2018,EDJAMAN  SOC. MICROCOOPERATIVA, Errotaldea  28.,  OROZ BETELU,, salmar@live.com, Establecimiento de hostelería.,
3. octubre 2018,SABOR Y SAZON  SOC. MICROCOOPERATIVA, San Agustín  5  bajo.,  BERRIOZAR,, geraldine0703@gmail.com, Establecimiento de hostelería.,logo-sabor-y-sazon-300x101.jpg
17. julio 2018,URIZ MONLEON  SOC. MICROCOOPERATIVA, Carlos III  15-6ºC.,  PAMPLONA, www.chrysalida.com, puymonleon@chrysalida.com, Consultoría empresarial de gestión de personas.,CHRYSALIDA-logo-recortado-002-300x194.png
17. julio 2018,Correo Electrónico: alfonso.garcia@goiener.com, Alde Zaharra s/n (apartado de correos 1240).,  LEKUNBERRI, www.goiener.eus ,, Producción de energía eléctrica de origen eólico.,nafarkoop-koloretan-1200-002-300x66.jpg
17. julio 2018,ONNECA  SOC. MICROCOOPERATIVA, C/Carnicerías  12 bajo.,  TUDELA,, fernandoleon99@hotmail.com, Establecimiento de hostelería.,
16. julio 2018,CAFETERIA NATI Y ELA  SOC. MICROCOOPERATIVA, C/ Parroquia  19 bajo.,  SANTESTEBAN,, cafeteria.natiyela@gmail.com, Establecimiento de hostelería.,Diapositiva1-300x300.jpg
16. julio 2018,AIXA AUTOCARAVANING  SOC. MICROCOOPERATIVA  , C/ El Rebote  10.,  IMARCOAIN, www.aixaautocaravanas.com, info@autocaravanasaixa.com, Alquiler de caravanas.,Aixa002-300x300.jpg
16. julio 2018,LA TIENDA Y JAVI CARNICERIA  SOC. MICROCOOPERATIVA, C/ Mayor  49 bajo.,  PUENTE LA REINA,, latiendayjavicarniceria@gmail.com, Comercio de carnicería.,
16. julio 2018,LA QUINTA PARED PRODUCCIONES  SOC. MICROCOOPERATIVA, C/ del Polígono Industrial de Berroa  2  3ª planta  Oficina 308.,  TAJONAR, www.laquintaparedproducciones.com, info@laquintaparedproducciones.com, Producción cinematográfica y vídeo.,Logo-Empresa-LaQuintaPared-Logo-Letras-002-300x300.jpg
16. julio 2018,BAOBAB DANZA  SOC. MICROCOOPERATIVA, C/ Rio Urederra  12.,  PAMPLONA, www.baobabdanza.com, baobabdanza@gmail.com, Escuela de baile.,
16. julio 2018,DONDE VAS ASI  SOC. MICROCOOPERATIVA, Plaza Rafael Alberti  9 bajo.,  ANSOAIN,, dondevasasi2018@gmail.com, Establecimiento de hostelería.,
16. julio 2018,SERVICIOS TURÍSTICOS ATEZ  S.L.L, C/La Asunción  19.,  AROSTEGUI, www.campingizarpe.com, ainhoa@campingizarpe.com, Camping en Atez.,
16. julio 2018,REINO RORAIMA  SOC. MICROCOOPERATIVA, C/ Navas de Tolosa  13 bajo.,  PAMPLONA,, reinororaima@gmail.com, Establecimiento de hostelería.,Logo-Pikoteo-sin-marco-002-300x156.jpg
16. julio 2018,SERVICIOS HOSTELEROS LA CUEVA  SOC. MICROCOOPERATIVA, C/ San Gregorio  12 bajo.,  PAMPLONA,, cicaton@hotmail.com, Establecimiento de Hostelería.,
16. julio 2018,MEDIA KONNECTOR  SOC. MICROCOOPERATIVA    , C/ Sandoval  4-1 Dcha.,  PAMPLONA, www.mediakonnector.com, mediakonnector@kiberno.com, Consultoría de informática.,logo-media-konnector-002-300x144.jpg
16. julio 2018,LICA MIKEL  SOC. MICROCOOPERATIVA, C/ Tafalla  6 bajo.,  PAMPLONA,, alubiasrojas@hotmail.com, Establecimiento de hostelería.,
3. abril 2018,ARGI MALUTAK  SOC. MICROCOOPERATIVA, Molino de Igoa.,  IGOA,, argimalutak@gmail.com, Actividades de yoga.,
3. abril 2018,COLLANTES  SOC. MICROCOOPERATIVA, Plaza de la Iglesia  s/n.,  AGUILAR DE CODÉS,, aguilu2003@yahoo.es, Establecimiento de hostelería,
3. abril 2018,ASOCIADOS GAC  SOC. MICROCOOPERATIVA, Avda. Pio XII  2 bajo.,  PAMPLONA,, guenka_86@hotmail.com, Establecimiento de hostelería,
3. abril 2018,BRC INTERNATIONAL TRADE  SOC. MICROCOOPERATIVA, Monasterio de Iratxe  53- 8ºB.,  PAMPLONA, www.brcinternationaltrade.com, info@brcinternationaltrade.com, Consultoría en internacionalización de Pymes.,BRC_International_Trade_LOGO-002-300x106.jpg
3. abril 2018,IC ARTESANIA APLICADA  SOC. MICROCOOPERATIVA, San Martín 10B.,  EGÜES,, artesaniaes@yahoo.com, Revestimientos de suelos y paredes.,
5. febrero 2018,MERAKI  SOC. MICROCOOPERATIVA, Amaya  6 Bajo.,  PAMPLONA, www.espaciomeraki.es, info@espaciomeraki.es, Ayudas a las relaciones personales y familiares.,
5. febrero 2018,ILUNA PRODUCCIONES  SOC. MICROCOOPERATIVA, Avda. Guipúzcoa  61-3ºD.,  BERRIOZAR, www.ilunaproducciones.es, ilunaproducciones@gmail.com, Actividades relacionadas con las artes escénicas.,
